satellite,year,day_of_year,hour,hour_url
GOES19,2024,284,20,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/284/20/catalog.html
GOES19,2024,284,21,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/284/21/catalog.html
GOES19,2024,284,22,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/284/22/catalog.html
GOES19,2024,284,23,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/284/23/catalog.html
GOES19,2024,285,00,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/00/catalog.html
GOES19,2024,285,01,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/01/catalog.html
GOES19,2024,285,02,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/02/catalog.html
GOES19,2024,285,03,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/03/catalog.html
GOES19,2024,285,04,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/04/catalog.html
GOES19,2024,285,05,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/05/catalog.html
GOES19,2024,285,06,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/06/catalog.html
GOES19,2024,285,07,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/07/catalog.html
GOES19,2024,285,08,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/08/catalog.html
GOES19,2024,285,09,https://redoak.cs.toronto.edu/twitcher/ows/proxy/thredds/catalog/datasets/GOES/GOES19/ABI-L2-MCMIPF/2024/285/09/catalog.html
